NodeID,Nodetype,NodeIDLabel,Lat,Long
1,1,2,35.01237143,-89.81157817
2,2,13,35.00816332,-90.00984064
3,2,14,35.0217481,-90.11288889
4,2,7,35.05841584,-89.8563791
5,2,12,35.09858438,-90.02812112
6,2,10,35.11492751,-89.93363256
7,1,3,35.17708731,-89.65357537
8,2,11,35.15291291,-90.01825075
9,2,15,35.18266307,-89.86083687
10,1,5,35.20396559,-89.76932913
11,2,9,35.24221864,-89.95900407
12,2,8,35.32711011,-89.6946072
13,1,6,35.33237645,-90.04579381
14,1,1,35.37674549,-89.73746257
15,1,4,35.37664943,-89.82465486
16,3,41,35.02420332,-89.92810082
17,3,46,35.01221484,-89.70914183
18,3,40,35.05521127,-89.92862786
19,3,37,35.06417236,-89.98217944
20,3,38,35.06301984,-90.03156428
21,3,39,35.08117024,-90.14452837
22,3,33,35.11260149,-90.06891645
23,3,36,35.10830495,-89.98706778
24,3,49,35.10719428,-89.64885525
25,3,42,35.10087352,-89.86259502
26,3,45,35.12430233,-89.73596668
27,3,34,35.1281318,-90.02396341
28,3,43,35.13266265,-89.78565998
29,3,32,35.15572005,-90.03418536
30,3,44,35.16033166,-89.74677709
31,3,35,35.14570878,-89.95065218
32,3,48,35.2074016,-89.65781352
33,3,29,35.23424572,-90.01649875
34,3,30,35.23192678,-89.97854195
35,3,31,35.22679528,-89.84801271
36,3,47,35.27547103,-89.73815795
37,3,26,35.26075297,-90.0182097
38,3,18,35.31598302,-89.76507914
39,3,27,35.26936964,-89.93329182
40,3,28,35.29637578,-89.80393609
41,3,17,35.33480735,-89.75832816
42,3,19,35.3450867,-89.82263464
43,3,24,35.35662708,-89.95721537
44,3,25,35.34655914,-89.91299886
45,3,23,35.3688312,-89.95006258
46,3,20,35.36403482,-89.91369399
47,3,22,35.38603906,-89.95273503
48,3,21,35.38686554,-89.9106502
49,3,16,35.38027456,-89.67149259
101,104,146,35.00079106,-90.04758839
102,104,147,35.04440068,-90.13975465
103,104,148,35.07640657,-89.95674502
104,104,149,35.07572304,-89.94858221
105,104,150,35.07707957,-89.93645491
106,104,151,35.07086632,-90.07840599
107,104,152,35.07488123,-90.05473961
108,104,153,35.07836682,-90.0404602
109,104,154,35.19370519,-89.98927489
110,104,155,35.19308206,-89.97935824
111,104,156,35.19385533,-89.95613605
112,104,157,35.24445443,-89.98481527
113,104,158,35.26805883,-89.84746268
114,104,159,35.28703916,-89.83614786
115,102,125,35.26808735,-89.71098357
116,102,124,35.21455633,-89.90742482
117,102,109,35.02319797,-89.93468935
118,101,110,35.03843775,-89.88494197
119,101,111,35.04567676,-89.7486058
120,101,112,35.04807723,-89.91849282
121,101,113,35.04987086,-89.8193234
122,102,114,35.0651077,-89.96634929
123,102,115,35.06397238,-90.00025711
124,102,116,35.08311446,-90.04824829
125,102,118,35.11269262,-90.0628094
126,102,117,35.09575911,-90.13862397
127,102,122,35.17395682,-89.9874219
128,102,121,35.17428692,-89.95604419
129,102,119,35.13310578,-89.96709088
130,102,123,35.18303712,-89.81955189
131,102,120,35.1383115,-89.78517638
132,103,128,35.04604506,-90.09223982
133,103,126,35.00702564,-90.04674159
134,103,127,35.03203141,-90.01317781
135,103,129,35.08323664,-90.07961422
136,103,130,35.08661106,-89.93692157
137,103,132,35.11532064,-89.93484222
138,103,131,35.1065119,-89.8832947
139,103,137,35.16314988,-89.88835789
140,103,133,35.12243339,-90.00781513
141,103,135,35.13594677,-90.03173343
142,103,134,35.12918073,-90.04824477
143,103,136,35.15507239,-90.04489956
144,103,138,35.20511066,-90.04742069
145,103,140,35.23792861,-89.99438246
146,103,139,35.21552681,-89.96476578
147,103,142,35.26130896,-89.98041438
148,103,141,35.25778698,-89.97150997
149,103,143,35.26859319,-89.97670141
150,103,144,35.27294718,-89.96061885
151,103,145,35.32713342,-89.89514711
152,101,108,35.37412008,-89.79981386
153,101,105,35.18321477,-89.7463049
154,101,102,35.07704103,-89.88680701
155,101,107,35.26290055,-89.96128689
156,101,104,35.17535116,-90.03109531
157,101,101,35.069481,-90.15294929
158,101,103,35.10775318,-89.99720788
159,101,106,35.18516082,-89.90861096
160,101,160,35.36447359,-89.66110552
